run_id,total_payout,largest_payout,num_payouts,first_payout_day,account_died,max_daily_loss,max_trailing_dd,payouts
1,4201.548940944988,3512.2401223892753,3,13.0,False,0.007716989856693947,0.03437337528622936,"[{'day': 13, 'amount': 3512.2401223892753}, {'day': 20, 'amount': 501.2981061840444}, {'day': 60, 'amount': 188.01071237166906}]"
2,13648.104199646108,4435.924082598681,5,20.0,False,0.010747082624329404,0.02875225671676072,"[{'day': 20, 'amount': 832.0250440684132}, {'day': 50, 'amount': 4435.924082598681}, {'day': 56, 'amount': 3765.9656053685494}, {'day': 60, 'amount': 1374.7410711055372}, {'day': 80, 'amount': 3239.4483965049276}]"
3,17949.464602790384,4599.427168266674,6,13.0,False,0.009975303218267272,0.03562421022586268,"[{'day': 13, 'amount': 4219.483134521965}, {'day': 20, 'amount': 1316.752830782566}, {'day': 40, 'amount': 3774.693562854676}, {'day': 46, 'amount': 4599.427168266674}, {'day': 60, 'amount': 3283.8273036738988}, {'day': 80, 'amount': 755.2806026906037}]"
4,976.2973756046413,706.1167271491926,2,60.0,False,0.012250868202866763,0.03972997862135104,"[{'day': 60, 'amount': 706.1167271491926}, {'day': 80, 'amount': 270.18064845544865}]"
5,3457.79548199823,2059.83286282122,4,20.0,False,0.012480398974932657,0.04162339718472786,"[{'day': 20, 'amount': 609.9548248371924}, {'day': 40, 'amount': 2059.83286282122}, {'day': 60, 'amount': 717.4909847846167}, {'day': 80, 'amount': 70.51680955520132}]"
6,6096.082639994217,1867.4238822173909,4,20.0,False,0.00842045869971193,0.03007640299004088,"[{'day': 20, 'amount': 1253.5676049778936}, {'day': 40, 'amount': 1867.4238822173909}, {'day': 60, 'amount': 1416.0642328114016}, {'day': 80, 'amount': 1559.0269199875313}]"
7,14469.663161361545,3592.507493377676,5,13.0,False,0.011928736438370658,0.02614289873435562,"[{'day': 13, 'amount': 3592.507493377676}, {'day': 20, 'amount': 2033.9235279495535}, {'day': 40, 'amount': 2151.2717620788953}, {'day': 60, 'amount': 3158.228358485654}, {'day': 80, 'amount': 3533.732019469766}]"
8,727.7480505580271,727.7480505580271,1,40.0,False,0.008621394431124339,0.04841034858183799,"[{'day': 40, 'amount': 727.7480505580271}]"
9,1622.2047184918206,715.9978294431944,4,20.0,False,0.013587011169859714,0.040937952206409396,"[{'day': 20, 'amount': 715.9978294431944}, {'day': 40, 'amount': 595.593147631058}, {'day': 60, 'amount': 45.65980681859364}, {'day': 80, 'amount': 264.95393459897457}]"
10,6603.143080659884,2912.328592431065,3,20.0,False,0.01526898262801422,0.03178151128961889,"[{'day': 20, 'amount': 1072.6142702930213}, {'day': 40, 'amount': 2618.200217935798}, {'day': 60, 'amount': 2912.328592431065}]"
11,6906.510669516747,3354.9077597439696,4,20.0,False,0.009995988633686366,0.018775859424408105,"[{'day': 20, 'amount': 365.21759039637686}, {'day': 40, 'amount': 905.2955428137749}, {'day': 60, 'amount': 2281.0897765626255}, {'day': 80, 'amount': 3354.9077597439696}]"
12,10964.122164880988,4556.177329660933,4,20.0,False,0.01265837913608449,0.042125014132278565,"[{'day': 20, 'amount': 2525.750456277565}, {'day': 40, 'amount': 2616.5664740680236}, {'day': 59, 'amount': 4556.177329660933}, {'day': 60, 'amount': 1265.6279048744661}]"
13,3155.349576507113,1978.0837042170358,2,20.0,False,0.011163958013401018,0.030375604160258043,"[{'day': 20, 'amount': 1978.0837042170358}, {'day': 60, 'amount': 1177.265872290077}]"
14,7965.893457640509,2783.5673061069942,4,20.0,False,0.010029237355007586,0.023656203408778866,"[{'day': 20, 'amount': 1400.7565267032026}, {'day': 40, 'amount': 1719.664127763931}, {'day': 60, 'amount': 2783.5673061069942}, {'day': 80, 'amount': 2061.905497066381}]"
15,2027.380073571352,1029.2181704282848,2,40.0,False,0.011333748991135102,0.037621279336226186,"[{'day': 40, 'amount': 998.1619031430672}, {'day': 60, 'amount': 1029.2181704282848}]"
16,0.0,0.0,0,,False,0.009707070307916644,0.021121049757786732,[]
