symbol,direction,trades,pnl,avg_pnl
EURUSD,buy,835,-388.7,-0.4655089820359281
EURUSD,sell,286,0.22999999999999687,0.0008041958041957932
GBPUSD,buy,985,-570.38,-0.5790659898477157
GBPUSD,sell,986,-599.12,-0.6076267748478702
